id,city,sex,date,salary,bonus,investment,rent,groceries,utilities,entertainment
afebfcedcdff,Los Angeles,M,2026-03-25,4542,773,543,989,130,100,75
afacaeeaebfd,Houston,F,2026-04-01,7226,372,38,758,137,315,237
addfadcbaaae,Los Angeles,M,2026-04-08,6431,1854,271,1132,178,119,179
bbdbcccabfca,New York,F,2026-04-15,7175,122,281,1656,644,270,188
efbfbbaccfee,Chicago,M,2026-04-22,5293,1307,814,2655,225,259,349
ecddcdeceebe,Chicago,F,2026-04-29,5559,566,1158,1102,576,394,402
bfceeeebdfcd,Houston,M,2026-05-06,5774,448,479,544,214,78,396
afdadecdcccb,Chicago,M,2026-05-13,2451,927,1086,2840,657,186,218
ecaadcebcbca,Houston,F,2026-05-20,2435,384,327,777,215,381,439
ffadedabaadd,Chicago,M,2026-05-27,4615,1049,1197,1617,541,333,109
ddaeffdfeceb,Los Angeles,F,2026-06-03,4053,707,1269,1874,350,86,338
efeaaffaaafc,Chicago,F,2026-06-10,7316,1646,509,1016,776,127,335
dfeeabeacccc,Chicago,F,2026-06-17,4441,841,1011,2611,382,335,337
dfdbecdfcecf,New York,F,2026-06-24,3832,1396,985,2337,276,320,383
decaeaccebed,Los Angeles,M,2026-07-01,2388,291,886,2813,602,309,420
bbfccfcaabef,New York,M,2026-07-08,4172,791,933,2592,198,149,310
bcfdcfeecdef,New York,M,2026-07-15,2414,742,248,1712,601,247,166
affcccfdcdfb,Los Angeles,F,2026-07-22,5873,1440,1044,1945,524,197,358
dcebfcfdcebb,Chicago,F,2026-07-29,7886,1834,1144,2738,429,181,438
cfeeeaccdfbf,Los Angeles,M,2026-08-05,5397,1312,873,1087,176,68,364
eafecaeceebf,Los Angeles,F,2026-08-12,4933,1709,49,878,705,156,212
dfefdafdfdff,New York,M,2026-08-19,5492,1561,85,535,533,257,148
eadfeaccbcdd,Miami,M,2026-08-26,7153,756,1083,930,633,215,415
aabdfeeecaff,New York,F,2026-09-02,7174,324,732,1355,538,225,382
efcdefcebeef,New York,M,2026-09-09,7361,1182,699,609,787,228,330
acdeebfcbdbb,New York,F,2026-09-16,2665,1289,869,2751,274,186,393
fbeaffeddffb,Los Angeles,F,2026-09-23,3742,1271,149,2710,622,125,277
cbdeaeaeabdd,Miami,F,2026-09-30,2759,66,1306,2136,102,66,437
bafacbebeccf,New York,F,2026-10-07,6508,411,940,2360,571,282,270
acebfbbdaafa,Miami,M,2026-10-14,3491,107,1289,846,772,323,269
dfbeaffbfedc,Houston,F,2026-10-21,3813,21,172,2668,302,297,198
dabeebdebecb,New York,M,2026-10-28,4844,56,849,2893,393,165,426
cbdcdaecdfdf,Los Angeles,F,2026-11-04,3806,840,293,1509,525,325,353
debebeaefbfc,Los Angeles,F,2026-11-11,7760,1758,1256,1585,672,120,330
fefcccddcdba,Houston,F,2026-11-18,7062,1013,633,2418,663,201,351
fcdebefbfbda,Los Angeles,F,2026-11-25,3804,17,150,2832,384,184,388
